id_parche,descripcion,fecha_aplicacion,id_vulnerabilidad,aplicado_por
1,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2001.",2025-11-05,216,74
2,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2002.",2025-09-22,123,17
3,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2003.",2025-07-18,80,37
4,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2004.",2025-09-24,166,61
5,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2005.",2025-01-16,180,54
6,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2006.",2025-10-10,9,50
7,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2007.",2025-08-17,74,65
8,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2008.",2025-09-15,187,63
9,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2009.",2024-12-29,225,79
10,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2010.",2024-11-19,267,65
11,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2011.",2025-01-03,291,62
12,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2012.",2024-11-17,103,4
13,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2013.",2025-06-09,62,67
14,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2014.",2025-01-13,28,56
15,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2015.",2025-01-04,280,34
16,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2016.",2025-05-11,113,9
17,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2017.",2025-05-24,278,73
18,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2018.",2025-04-04,313,1
19,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2019.",2025-08-31,172,30
20,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2020.",2025-03-06,106,16
21,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2021.",2025-04-08,292,49
22,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2022.",2025-08-18,158,26
23,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2023.",2025-01-18,81,41
24,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2024.",2025-09-14,258,64
25,"Parche aplicado: actualizaci├│n y mitigaci├│n de CVE. Ticket #2025.",2025-07-25,80,41
